Excel,git,HTML,JavaScript,JSON,MATLAB,Microsoft Access,PostGIS,PostgreSQL,Power BI,Python,R,R Shiny,SAS,Scala,Spark,SPSS,SQL,Stata,Tableau,VBA,XML,job_id,length,job_department,date_downloaded,description_word_count,roles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579975,1158,Foreign and Commonwealth Office,2018-04-06,165,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582304,3639,Cabinet Office,2018-04-26,543,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583190,4980,Independent Office for Police Conduct,2018-05-02,745,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583857,1483,National Savings and Investments,2018-05-09,241,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585589,2822,Royal Botanic Gardens Kew,2018-05-22,462,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585761,1908,Homes England,2018-05-23,304,Economist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586794,2868,PHE,2018-06-01,455,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587115,2537,College of Policing,2018-06-05,366,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588138,1944,FSA,2018-06-12,331,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588308,2135,PHE,2018-06-13,328,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589219,2903,Homes England,2018-06-20,444,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589647,1817,Human Tissue Authority,2018-06-22,278,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592032,2731,HMP,2018-07-11,385,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592777,4107,Cabinet Office,2018-07-17,640,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593077,4014,MHCLG,2018-07-18,548,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594230,3777,HMP,2018-07-26,535,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594643,3175,BEIS,2018-07-27,479,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594819,4696,MoJ,2018-07-28,738,Economist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595012,89,Scottish Government,2018-07-31,16,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595805,5348,DexEU,2018-08-04,837,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596968,1362,PHE,2018-08-14,207,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597120,3861,Ministry of Defence,2018-08-15,590,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597905,5605,HMP,2018-08-21,831,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572797,89,Scottish Government,2018-02-07,16,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573015,3559,HMP,2018-02-08,513,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572323,4020,Cabinet Office,2018-02-10,593,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574631,1047,MHPRA,2018-02-21,156,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575139,2344,PHE,2018-02-24,359,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577301,3827,HMP,2018-03-15,549,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578760,5582,HM Courts and Tribunals Service,2018-03-27,806,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579613,5732,National Crime Agency,2018-04-04,877,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579978,471,Foreign and Commonwealth Office,2018-04-06,75,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582305,1148,Foreign and Commonwealth Office,2018-04-26,188,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583863,3118,PHE,2018-05-09,472,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585594,3170,Office for National Statistics,2018-05-22,511,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585763,2236,Homes England,2018-05-23,350,Not in an analytical profession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586084,3272,GDS,2018-05-25,507,Not in an analytical profession
